Window (min ago),Horizon (min),MAE,RMSE,R2,MAPE,Accuracy (%)
90,1,15.804190307305134,15.804190307305134,,0.02257741472472162,97.74225852752784
90,2,350.01413153019246,483.9485273074407,-0.9118871598615566,0.2556544476313179,74.43455523686822
90,5,249.43613560570105,350.6733916514441,-0.004671794218358727,0.35089484464557447,64.91051553544256
90,10,319.4025411961402,378.71349754818624,-0.05381273493886907,0.7341922731389752,26.580772686102485
90,15,269.34471849070604,334.05947272537463,-0.10320911891256346,0.6318332840253427,36.816671597465735
75,1,196.3588443719467,196.3588443719467,,0.3927176887438934,60.728231125610655
75,2,250.01967850146997,255.71336444827168,-0.046229196119273785,0.3481991006874433,65.18008993125567
75,5,402.2643326941895,480.0131283300895,-0.8344952497550873,0.37094324734148254,62.90567526585175
75,10,399.9373717014345,445.26190071563144,-0.00946110096179642,0.8662630487252116,13.373695127478836
75,15,361.33921120271515,430.0697848439455,-0.0905661546917309,0.6549533851157653,34.50466148842347
60,1,312.2181061933326,312.2181061933326,,0.7805452654833315,21.945473451666853
60,2,550.021622845881,599.2280852316047,-0.18702247315813336,0.6528810125744755,34.71189874255245
60,5,477.573540308709,526.6403894205516,-0.34897908447971915,0.514766158776076,48.5233841223924
60,10,465.2324837436489,530.3240600074015,-0.5615969384938033,0.4541505159500991,54.58494840499009
60,15,410.9335528289857,471.511238828628,-0.15900465423735333,0.5866761785720285,41.33238214279715
45,1,487.14078836712133,487.14078836712133,,0.40595065697260113,59.40493430273989
45,2,249.9762624818602,344.57966298489026,-0.899762306284489,0.21212656891244278,78.78734310875572
45,5,332.3608694789817,386.64341011884187,-2.5257812874605414,0.2888945958284733,71.11054041715266
45,10,367.4229406889475,422.2643733713295,-0.05569686807981977,1.1117714166482096,0.0
45,15,349.0408972249491,397.5513024065671,-0.009097149834293328,1.0963928650125767,0.0
30,1,196.4849304910258,196.4849304910258,,0.3929698609820516,60.70301390179485
30,2,150.02606815981665,157.05491719969865,-0.09627764518240878,0.2612144341339055,73.87855658660945
30,5,237.80740801648616,280.25775659109814,-0.96361025323688,0.7810527937580238,21.894720624197618
30,10,227.76031827409764,260.57227935232663,-0.4601701670293965,0.6010371232603953,39.89628767396047
30,15,271.56400700902117,307.0434382531039,-0.24483723117457235,0.9525734617242525,4.74265382757475
