Window (min ago),Horizon (min),MAE,RMSE,R2,MAPE,Accuracy (%)
90,1,154.10132727081987,154.10132727081987,,0.22014475324402838,77.98552467559716
90,5,280.11415258452547,405.04386693536594,-0.3403638410290395,0.31842423483295745,68.15757651670425
90,10,296.87962723071837,382.54588446967057,-0.07524874154799832,0.558943457719361,44.1056542280639
90,15,249.04205333820445,329.2103806719719,-0.07141396383969889,0.48490491692411336,51.50950830758867
75,1,118.82643470397795,118.82643470397795,,0.2376528694079559,76.23471305920441
75,5,467.76943218149415,550.1096426132442,-1.4093998319750893,0.4152959606894089,58.47040393105911
75,10,412.26208712501847,471.0599046175712,-0.12982400070425282,0.8066490068881549,19.33509931118451
75,15,402.5482591560029,471.640611416728,-0.31158529680156266,0.6518677227725027,34.81322772274973
60,1,476.5369843671607,476.5369843671607,,1.1913424609179017,0.0
60,5,472.4909109141778,496.55093010975924,-0.1992355359575244,0.5842243454698043,41.577565453019574
60,10,462.29034516714137,513.1441046661984,-0.4620592568221782,0.49587428942101147,50.412571057898845
60,15,410.97582253571176,462.0539164339406,-0.11297752272213102,0.6327181659783931,36.72818340216069
45,1,356.89162760051977,356.89162760051977,,0.2974096896670998,70.25903103329001
45,5,265.7376806972435,285.55341147877044,-0.9231309152633014,0.2484635255915406,75.15364744084594
45,10,356.97416270008773,417.17822542308284,-0.030418423725000032,1.3141091317316096,0.0
45,15,384.08492631554657,433.29290960362334,-0.19869800625352085,1.3569094055810078,0.0
30,1,146.66382834869182,146.66382834869182,,0.29332765669738364,70.66723433026164
30,5,228.39046165303708,276.4072864276098,-0.9100246997568682,0.748705593475609,25.129440652439094
30,10,216.60761701543828,256.09507150417517,-0.4104233472844858,0.571495574746029,42.850442525397106
30,15,256.5191773543276,292.2906745163673,-0.12808765505149156,0.8790386802735567,12.096131972644331
